AP - 动作电位,M000222,AP,动作电位,,abbr.,,,"AP is a rapid, transient change in the membrane potential of an excitable cell that propagates along the cell membrane due to the opening and closing of voltage-gated ion channels.",,,250923A036,「脑科学Week3 Part1」
Propagation - 传导,M000223,Propagation,传导,/ˌprɑpəˈɡeɪʃən/,n.,物理,,"Propagation is the transmission of signals, waves, or disturbances through a medium or system.",,,250923A036,「脑科学Week3 Part1」
Myelination - 髓鞘化,M000224,Myelination,髓鞘化,/ˌmaɪəˈlɪneɪʃən/,n.,,,"Myelination is the process by which axons are insulated by a fatty myelin sheath, increasing the speed of nerve impulse conduction.",myel in ation,marrow substance process,250923A036,「脑科学Week3 Part1」
Saltatory conduction - 跳跃式传导,M000225,Saltatory conduction,跳跃式传导,/ˈsɔltəˌtɔri kənˈdʌkʃən/,P.,,,"Saltatory conduction is the process by which action potentials jump between nodes of Ranvier along a myelinated axon, allowing faster electrical transmission than continuous conduction.",saltat duct,leap lead,250923A036,「脑科学Week3 Part1」
Demyelinating disorders - 脱髓鞘疾病,M000226,Demyelinating disorders,脱髓鞘疾病,/diˌmaɪələˈneɪtɪŋ dɪsˈɔrdərz/,P.,,,"Demyelinating disorders are diseases in which the protective myelin sheath of nerve fibers is damaged, causing impaired nerve conduction.",de myelin,remove_of myelin_sheath,250923A036,「脑科学Week3 Part1」
Lectrochemical gradients - 电化学梯度,M000227,Lectrochemical gradients,电化学梯度,/ˌlɛktroʊkɛmɪkəl ˈɡreɪdiənts/,P.,生物,,Lectrochemical gradients are differences in electrical potential and chemical concentration across a membrane that drive the movement of ions and molecules.,electro chem grad,electricity chemistry step,250923A036,「脑科学Week3 Part1」
Ionic movement - 离子移动,M000228,Ionic movement,离子移动,/aɪˈɑnɪk ˈmuvmənt/,P.,化學,,Ionic movement is the motion of charged atoms or molecules (ions) through a medium such as an electrolyte or across a biological membrane.,ion move ment,charged_particle move action_or_result,250923A036,「脑科学Week3 Part1」
Trivial case - 平凡情形,M000229,Trivial case,平凡情形,/ˈtrɪviəl keɪs/,P.,,,Trivial case is an ordinary or unremarkable situation that does not require special attention.,,,250923A036,「脑科学Week3 Part1」
Membrane potential - 膜电位,M000230,Membrane potential,膜电位,/ˈmɛmˌbreɪn pəˈtɛnʃəl/,P.,生理,,Membrane potential is the electrical potential difference across a cell's membrane that results from uneven ion distribution and selective membrane permeability.,membrane potent ial,membrane power relating_to,250923A036,「脑科学Week3 Part1」
Atpase - ATP 酶,M000231,Atpase,ATP 酶,/ˌeɪtiːˈpiːeɪs/,n.,生化,,Atpase is an enzyme that hydrolyzes ATP to ADP and inorganic phosphate.,atp ase,adenosine_triphosphate enzyme,250923A036,「脑科学Week3 Part1」
S-P pump - 钠-钾泵,M000232,S-P pump,钠-钾泵,/ɛs pi ˈpʌmp/,P.,生理,,The S-P pump is a membrane protein that uses ATP to pump sodium ions out of cells and potassium ions into cells.,,,250923A036,「脑科学Week3 Part1」
Ion pump - 离子泵,M000233,Ion pump,离子泵,/ˈaɪ.ən pʌmp/,P.,生物,,"An Ion pump is a membrane protein that transports ions across a cell membrane, typically using energy to move them against their concentration gradient.",ion,charged_particle,250923A036,「脑科学Week3 Part1」
Depolarization - 去极化,M000234,Depolarization,去极化,/dɪˌpoʊləˈraɪzeɪʃən/,n.,生理,,"Depolarization is the process by which a cell's membrane potential becomes less negative, reducing the membrane's polarization.",de polar ize ation,remove polarity make process,250923A036,「脑科学Week3 Part1」
Hyperpolarization - 超极化,M000235,Hyperpolarization,超极化,/ˌhaɪpərˌpoʊləˈreɪʃən/,n.,,,Hyperpolarization is an increase in a cell membrane's electrical potential that makes the inside more negative relative to the outside.,hyper polar ization,over pole process,250923A036,「脑科学Week3 Part1」
Synapse - 突触,M000236,Synapse,突触,/ˈsɪnæps/,n.,,,Synapse is the junction between two nerve cells where electrical or chemical signals are transmitted across the gap.,syn apse,together joining,250923A036,「脑科学Week3 Part1」
Repolarization - 复极化,M000237,Repolarization,复极化,/ˌriːpoʊlərəˈzeɪʃən/,n.,生理,,Repolarization is the process by which a cell's membrane potential returns toward its resting negative value after depolarization.,re polar ization,back pole action_or_process,250923A036,「脑科学Week3 Part1」
Chemical gradient - 化学梯度,M000238,Chemical gradient,化学梯度,/ˈkɛmɪkəl ˈɡreɪdiənt/,P.,生物,,"A Chemical gradient is a difference in the concentration of a chemical substance between two regions, often across a membrane.",chem grad,chemical step,250923A036,「脑科学Week3 Part1」
Intracellular - 细胞内,M000239,Intracellular,细胞内,/ˌɪntrəˈsɛljələr/,adj.,生物,,Intracellular describes something located or occurring inside a cell.,intra cellular,within cell,250923A036,「脑科学Week3 Part1」
Concentration - 浓度,M000240,Concentration,浓度,/ˌkɑnsənˈtreɪʃən/,n.,化學,,Concentration is the amount of a substance per unit volume or mass in a mixture or solution.,con centr ate ion,together center make noun,250923A036,「脑科学Week3 Part1」
Phospholipid - 磷脂,M000241,Phospholipid,磷脂,/ˌfɑsfoʊˈlɪpɪd/,n.,生化,,A phospholipid is a lipid molecule that contains a phosphate group and forms the basic structure of cell membranes.,phospho lipid,phosphate fat,250923A036,「脑科学Week3 Part1」
Bilayer - 双层,M000242,Bilayer,双层,/ˈbaɪˌleɪɚ/,n.,生物,,A bilayer is a structure made of two layers.,bi,two,250923A036,「脑科学Week3 Part1」
Mammalian - 哺乳动物的,M000243,Mammalian,哺乳动物的,/məˈmeɪliən/,adj.,,,Mammalian describes animals of the class Mammalia that are characterized by hair and mammary glands.,mammal ian,breast relating_to,250923A036,「脑科学Week3 Part1」
Canonical ionic distributions - 典型离子分布,M000244,Canonical ionic distributions,典型离子分布,/kəˈnɑnɪkəl aɪˈɑnɪk dɪstrɪˈbjuʃənz/,P.,化學,,"Canonical ionic distributions describe the typical spatial arrangements of ions in a material or solution, indicating characteristic charge and concentration patterns.",,,250923A036,「脑科学Week3 Part1」
Graded (Passive) potentials - 分级（被动）电位,M000245,Graded (Passive) potentials,分级（被动）电位,/ˈɡreɪdɪd ˈpæsɪv pəˈtɛnʃəlz/,P.,生理,,Graded (Passive) potentials are changes in membrane potential whose amplitude varies with stimulus strength and that spread passively along the membrane without being regenerated by voltage-gated channels.,,,250923A036,「脑科学Week3 Part1」
Threshold potential - 阈电位,M000246,Threshold potential,阈电位,/ˈθrɛʃhoʊld pəˈtɛnʃəl/,P.,,,Threshold potential is the critical membrane voltage at which a neuron or muscle cell initiates an action potential.,potent ial,power relating_to,250923A036,「脑科学Week3 Part1」
Overshoot - 超冲,M000247,Overshoot,超冲,/ˈoʊvɚˌʃut/,n.,,,Overshoot is the amount by which a system exceeds its target or steady-state value during a transient response.,,,250923A036,「脑科学Week3 Part1」
Undershoot - 下冲,M000248,Undershoot,下冲,/ˈʌndɚˌʃut/,n.,,,Undershoot means a downward movement that briefly pushes a price or value below a target or support level.,,,250923A036,「脑科学Week3 Part1」
Drift - 漂移,M000249,Drift,漂移,/drɪft/,vi.,,,"Drift means to move slowly or be carried along by water, wind, or another force.",,,250923A036,「脑科学Week3 Part1」
V-G ion channels - 电压门控离子通道,M000250,V-G ion channels,电压门控离子通道,,abbr.,,,"V-G ion channels are membrane proteins that open or close in response to changes in membrane voltage, allowing specific ions to pass across the cell membrane.",,,250923A036,「脑科学Week3 Part1」
Gastropod - 腹足类动物,M000251,Gastropod,腹足类动物,/ˈɡæstrəˌpɑd/,n.,,,"Gastropod is any member of the class Gastropoda, a group of mollusks that includes snails and slugs and is characterized by a single muscular foot used for locomotion.",gastro pod,stomach foot,250923A036,「脑科学Week3 Part1」
Nodes of ranvier - 朗飞结,M000252,Nodes of ranvier,朗飞结,/noʊdz əv rænˈvjɛər/,P.,,,Nodes of ranvier are periodic gaps in the myelin sheath along an axon where ion channels concentrate and saltatory conduction occurs.,node,knot,250923A036,「脑科学Week3 Part1」
Saltatory conduction - 跳跃式传导,M000253,Saltatory conduction,跳跃式传导,/ˈsɔltəˌtɔri kənˈdʌkʃən/,P.,,,Saltatory conduction is the rapid propagation of action potentials along myelinated axons in which impulses jump from one node of Ranvier to the next.,saltat con duct ion,jump together lead action,250923A036,「脑科学Week3 Part1」
Pathologies - 病理学,M000254,Pathologies,病理学,/pəˈθɑlədʒiz/,n.,醫學,,"Pathologies refers to the branch of medicine that studies the causes, development, and effects of diseases.",patho logy,disease study_of,250923A036,「脑科学Week3 Part1」
Autoimmune - 自身免疫性,M000255,Autoimmune,自身免疫性,/ˌɔːtoʊɪˈmjun/,adj.,,,Autoimmune describes a condition in which the body's immune system mistakenly attacks its own tissues.,auto immune,self immune,250923A036,「脑科学Week3 Part1」
Multiple sclerosis - 多发性硬化,M000256,Multiple sclerosis,多发性硬化,/ˌmʌltəpəl skləˈroʊsɪs/,P.,,,"Multiple sclerosis is a chronic autoimmune disease of the central nervous system in which the myelin sheath of nerve fibers is damaged, causing a range of neurological symptoms.",multi scler osis,many hard condition,250923A036,「脑科学Week3 Part1」
Guillain-barré syndrome - 格林－巴利综合征,M000257,Guillain-barré syndrome,格林－巴利综合征,/ˌɡiˈjæn bəˈreɪ ˈsɪndroʊ/,P.,,,"Guillain-barré syndrome is an acute autoimmune condition in which the immune system attacks peripheral nerves, causing rapid-onset muscle weakness and sometimes paralysis.",syndrome,collection_of_symptoms,250923A036,「脑科学Week3 Part1」
