AP - 动作电位,M000222,AP,动作电位,,abbr.,,,"An AP is a rapid, transient change in a neuron's membrane potential that propagates along the axon to transmit electrical signals.","During the recording the sensory neuron produced an AP after stimulation, which traveled down the axon to activate postsynaptic targets in the spinal cord.",act ion potent ial,do process power relating_to,251012E036,
Propagation - 传导,M000223,Propagation,传导,/ˌprɑpəˈɡeɪʃən/,n.,物理,,"Propagation is the transmission of a disturbance, such as a wave, particle, or signal, through a medium or space.","Propagation of radio signals through the atmosphere can be affected by ionospheric conditions, causing long-distance reception during solar storms.",pro ation,forward action_or_process,251012E036,
Myelination - 髓鞘化,M000224,Myelination,髓鞘化,/ˌmaɪələˈneɪʃən/,n.,,,Myelination is the process by which axons are wrapped in a myelin sheath to improve electrical conduction along nerve fibers.,Neonatal MRI showing delayed Myelination led clinicians to order genetic testing for leukodystrophies.,myel ation,marrow act_of,251012E036,
Saltatory conduction - 跳跃式传导,M000225,Saltatory conduction,跳跃式传导,/ˈsɔltəˌtɔri kənˈdʌkʃən/,P.,,,Saltatory conduction is the mode of nerve impulse transmission in myelinated axons where action potentials jump between nodes of Ranvier.,"In our patch-clamp recordings, saltatory conduction enabled rapid signal propagation along the motor neuron by allowing the action potential to leap from node to node.",saltat ory conduct ion,leap pertaining_to lead action,251012E036,
Demyelinating disorders - 脱髓鞘疾病,M000226,Demyelinating disorders,脱髓鞘疾病,/ˌdiːmaɪəˈleɪnətɪŋ dɪˈsɔrdɚz/,P.,,,"Demyelinating disorders are neurological diseases in which the myelin sheath of nerve fibers is damaged, leading to impaired nerve conduction.",MRI scans are commonly used to detect lesions in patients suspected of having demyelinating disorders such as multiple sclerosis to guide diagnosis and treatment.,de myelin ate disorder,remove myelin cause_to_be abnormal_condition,251012E036,
Lectrochemical gradients - 电化学梯度,M000227,Lectrochemical gradients,电化学梯度,/ˌlɛktroʊˈkɛmɪkəl ˈɡreɪdiənts/,P.,生物,,Lectrochemical gradients are differences in electric potential and ion concentration across membranes that drive processes such as ATP synthesis and active ion transport.,"In mitochondria, lectrochemical gradients across the inner membrane power ATP synthase to produce ATP during oxidative phosphorylation.",electro chem grad,electric chemical step,251012E036,
Ionic movement - 离子移动,M000228,Ionic movement,离子移动,/aɪˈɑnɪk ˈmuvmənt/,P.,化學,,"Ionic movement is the motion of charged ions through a medium, driven by electric fields or concentration gradients.",Ionic movement in lithium-ion batteries controls how fast they can charge and deliver current during discharge.,ion ic move ment,charged_particle pertaining_to move result_or_process,251012E036,
Trivial case - 平凡情形,M000229,Trivial case,平凡情形,/ˈtrɪviəl keɪs/,P.,數學,,Trivial case refers to a commonplace situation that is simple and does not affect the main conclusion.,In the proof we dismissed the Trivial case where n=0 because it required no further reasoning.,,,251012E036,
Membrane potential - 膜电位,M000230,Membrane potential,膜电位,/ˈmɛmˌbreɪn pəˈtɛnʃəl/,P.,生理,,Membrane potential is the electrical potential difference across a cell membrane that arises from unequal ion distribution and selective membrane permeability.,"During drug testing, researchers measured the Membrane potential of cardiac myocytes to detect proarrhythmic effects.",,,251012E036,
Atpase - ATP 酶,M000231,Atpase,ATP 酶,/ˌeɪtiːˈpiːeɪz/,n.,生化,,Atpase is an enzyme that catalyzes the hydrolysis of ATP to ADP and inorganic phosphate.,The neuronal Na+/K+-Atpase restores resting membrane potential by using ATP hydrolysis to pump sodium out and potassium in after an action potential.,ase,enzyme,251012E036,
S-P pump - 钠-钾泵,M000232,S-P pump,钠-钾泵,/ˌɛsˈpiː pʌmp/,P.,生理,,The S-P pump is a membrane enzyme that uses ATP to export three sodium ions and import two potassium ions across the cell membrane.,"During cardiac physiology experiments, blocking the S-P pump with ouabain causes intracellular sodium to rise and disrupts normal contractile function.",,,251012E036,
Ion pump - 离子泵,M000233,Ion pump,离子泵,/ˈaɪən pʌmp/,P.,生物,,An Ion pump is a membrane protein that uses energy to move ions across a cell membrane against their concentration gradient.,"In neurons the Na+/K+ ATPase acts as an Ion pump, exporting three sodium ions and importing two potassium ions to maintain resting membrane potential.",ion,charged_particle,251012E036,
Depolarization - 去极化,M000234,Depolarization,去极化,/diˌpoʊlərəˈzeɪʃən/,n.,,,"Depolarization is the process by which a cell's membrane potential becomes less negative, moving the interior of the cell toward zero volts.","During an action potential in a neuron, depolarization occurs when voltage-gated sodium channels open and the membrane potential rapidly rises.",de polar ization,reverse pole process,251012E036,
Hyperpolarization - 超极化,M000235,Hyperpolarization,超极化,/ˌhaɪpərˌpoʊləraɪˈzeɪʃən/,n.,,,Hyperpolarization is a change in a cell's membrane potential that makes the inside more negative than the resting potential.,"During an inhibitory synaptic input, the neuron underwent hyperpolarization that prevented it from firing an action potential.",hyper polar ization,over_excess pole process,251012E036,
Synapse - 突触,M000236,Synapse,突触,/ˈsɪnæps/,n.,,,A synapse is the junction between two neurons where electrical or chemical signals are transmitted.,"During learning experiments, repeated stimulation strengthened the synapse between hippocampal neurons, which correlated with improved memory performance.",syn apse,together fasten,251012E036,
Repolarization - 复极化,M000237,Repolarization,复极化,/riˌpoʊləraɪˈzeɪʃən/,n.,生理,,Repolarization is the process by which a cell's membrane potential returns to its resting negative value after depolarization.,"On an electrocardiogram, abnormalities in ventricular repolarization can indicate ischemia or dangerous electrolyte imbalances.",re polar ization,again pole process_of,251012E036,
Chemical gradient - 化学梯度,M000238,Chemical gradient,化学梯度,/ˈkɛmɪkəl ˈgreɪdiənt/,P.,生物,,A Chemical gradient is a spatial difference in the concentration of a chemical substance that creates a slope driving diffusion or directed movement across space or membranes.,"During bacterial chemotaxis, E. coli sense a Chemical gradient of attractant molecules and swim toward regions of higher concentration.",chem grad,chemistry step,251012E036,
Intracellular - 细胞内,M000239,Intracellular,细胞内,/ˌɪn.trəˈsɛl.jə.lɚ/,adj.,生物,,"Intracellular describes substances, processes, or structures that exist within a cell.",Researchers measured intracellular calcium levels to assess how neurons respond to stimulation.,intra cell ar,within cell pertaining_to,251012E036,
Concentration - 浓度,M000240,Concentration,浓度,/ˌkɑnsənˈtreɪʃən/,n.,化學,,"Concentration is the amount of a substance in a given volume or mass of a mixture, commonly expressed as molarity, percent, or mass per volume.",The lab technician measured the concentration of glucose in the blood sample to determine whether the patient had hyperglycemia.,con centr ation,together center action,251012E036,
Phospholipid - 磷脂,M000241,Phospholipid,磷脂,/ˌfɑsfoʊˈlɪpɪd/,n.,生化,,Phospholipid refers to a lipid molecule containing phosphorus that constitutes a major component of cell membranes.,The biochemistry lab quantified Phospholipid levels in the patient's plasma to evaluate liver function.,phospho lipid,phosphorus_containing fat,251012E036,
Bilayer - 双层,M000242,Bilayer,双层,/ˈbaɪˌleɚ/,n.,生物,,A bilayer is a structure consisting of two layers of material or molecules stacked together.,The cell membrane functions as a phospholipid bilayer that controls the passage of ions and molecules into and out of the cell.,bi,two,251012E036,
Mammalian - 哺乳动物的,M000243,Mammalian,哺乳动物的,/məˈmeɪliən/,adj.,生物,,Mammalian refers to animals of the class Mammalia that are characterized by hair and mammary glands.,Mammalian research often uses mice and rats to model human physiology and disease in laboratory experiments.,mammal ian,mammal relating_to,251012E036,
Canonical ionic distributions - 典型离子分布,M000244,Canonical ionic distributions,典型离子分布,/kəˈnɑnɪkəl aɪˈɑnɪk ˌdɪstrəˈbjuʃənz/,P.,化學,,Canonical ionic distributions are the characteristic patterns of ion concentrations and arrangements typically observed in a given physical or chemical environment.,"In our simulation of seawater electrode interfaces, we compared the measured ion profiles with Canonical ionic distributions to validate the molecular dynamics model.",canon ical ion ic dis tribut ion s,rule pertaining_to ion pertaining_to apart give act_or_state plural,251012E036,
Graded (Passive) potentials - 分级（被动）电位,M000245,Graded (Passive) potentials,分级（被动）电位,/ˈɡreɪdɪd ˈpæsɪv pəˈtɛnʃəlz/,P.,,,"Graded (Passive) potentials are local, non–all-or-none changes in membrane voltage whose amplitude varies with stimulus strength and that spread passively without active regeneration.","In sensory neurons, Graded (Passive) potentials in the dendrites encode stimulus intensity and decay with distance before an action potential is triggered.",grad pass potent,step suffer power,251012E036,
Threshold potential - 阈电位,M000246,Threshold potential,阈电位,/ˈθrɛʃhoʊld pəˈtɛnʃəl/,P.,,,Threshold potential is the critical membrane voltage a neuron must reach for an action potential to be triggered.,"In the patch-clamp recording, the neuron's membrane reached the Threshold potential after a burst of EPSPs, causing it to fire an action potential.",potent ial,power relating_to,251012E036,
Overshoot - 超冲,M000247,Overshoot,超冲,/ˌoʊvɚˈʃuːt/,n.,,,An overshoot is the amount by which a system's response exceeds its final steady-state value or target after a change in input.,"During the step response of the PID-controlled system, the output exhibited an overshoot of 12% above the setpoint before settling.",,,251012E036,
Undershoot - 下冲,M000248,Undershoot,下冲,/ˌʌndɚˈʃut/,n.,工程,,"Undershoot describes when a value or object falls below an intended level or target, producing a brief downward spike.",Undershoot of the parachute deployment altitude forced the jumper to deploy the reserve chute.,,,251012E036,
Drift - 漂移,M000249,Drift,漂移,/drɪft/,n.,物理,,"Drift is the gradual movement of an object, fluid, or signal away from its original position or intended course.",Drift in the ship's position during a storm forced the crew to alter course to avoid the reef.,,,251012E036,
V-G ion channels - 电压门控离子通道,M000250,V-G ion channels,电压门控离子通道,/ˌviːˈdʒiː ˈaɪən ˈtʃænəlz/,P.,,,V-G ion channels are membrane proteins that open or close in response to changes in membrane voltage to control the flow of specific ions across the cell membrane.,"In patch-clamp experiments, V-G ion channels in cortical neurons opened during depolarization, producing the inward sodium currents underlying action potentials.",ion,charged_particle,251012E036,
Gastropod - 腹足类动物,M000251,Gastropod,腹足类动物,/ˈɡæstrəpɑd/,n.,,,A Gastropod is a mollusk in the class Gastropoda that typically has a single coiled shell (as in snails) or no shell (as in slugs) and moves using a muscular foot.,"During the tide survey, the researcher collected a live Gastropod to study its radula under the microscope.",gastro pod,stomach foot,251012E036,
Nodes of ranvier - 朗飞结,M000252,Nodes of ranvier,朗飞结,/noʊdz əv rænˈvjɛeɪ/,P.,,,Nodes of ranvier are periodic gaps in the myelin sheath along a myelinated axon where voltage-gated sodium channels concentrate to enable saltatory conduction.,"In a nerve biopsy the pathologist noted that demyelination had widened the Nodes of ranvier, which correlated with the patient's slowed nerve conduction velocities.",node,knot,251012E036,
Saltatory conduction - 跳跃式传导,M000253,Saltatory conduction,跳跃式传导,/ˈsɔltəˌtɔri kənˈdʌkʃən/,P.,,,Saltatory conduction is the rapid propagation of action potentials along a myelinated axon in which impulses jump from one node of Ranvier to the next.,Saltatory conduction allows motor neurons to transmit signals quickly so muscles can produce fast reflexive movements.,salt atory con duct ion,jump pertaining_to together lead action,251012E036,
Pathologies - 病理学,M000254,Pathologies,病理学,/pəˈθɑlədʒiz/,n.,醫學,,The term Pathologies refers to the medical discipline that studies the causes and effects of diseases in tissues and organs.,"During her clinical rotation, she attended Pathologies lectures to learn histological techniques used in tumor diagnosis.",path o logy,disease study_of,251012E036,
Autoimmune - 自身免疫性,M000255,Autoimmune,自身免疫性,/ˌɔːtoʊɪˈmjun/,adj.,,,Autoimmune describes a condition in which the immune system mistakenly attacks the body's own tissues.,Autoimmune hepatitis required immunosuppressive medication after the biopsy confirmed the diagnosis.,auto immune,self immune,251012E036,
Multiple sclerosis - 多发性硬化,M000256,Multiple sclerosis,多发性硬化,/ˌmʌltəpəl skləˈroʊsɪs/,P.,,,"Multiple sclerosis is an autoimmune disease in which the immune system attacks the protective myelin sheath of nerve fibers in the central nervous system, causing inflammation and progressive neurological symptoms.","After receiving a diagnosis of multiple sclerosis, the patient started disease-modifying therapy and adapted her work schedule to manage fatigue and intermittent vision problems.",multi scler osis,many hardening condition,251012E036,
Guillain-barré syndrome - 格林－巴利综合征,M000257,Guillain-barré syndrome,格林－巴利综合征,/ˌɡiːˈjɑːn bəˈreɪ ˈsɪnˌdroʊm/,P.,,,"Guillain-Barré syndrome is an acute autoimmune disorder in which the immune system attacks peripheral nerves, producing rapidly progressive muscle weakness and possible paralysis.","After a gastrointestinal infection, she was admitted and diagnosed with Guillain-Barré syndrome when she developed ascending weakness and diminished reflexes over several days.",syn drome,together running,251012E036,
