AP - 动作电位,M000222,AP,动作电位,,abbr.,,,AP stands for action potential in neuroscience.,"When the neuron fires, an AP is generated along the axon.",,,251013F036,
Propagation - 传导,M000223,Propagation,传导,/ˌprɒpəˈɡeɪʃən/,n.,物理,,Propagation is the process by which a wave travels through a medium.,The propagation of sound requires a medium like air or water.,pro pa gat ion,forward place act state,251013F036,
Myelination - 髓鞘化,M000224,Myelination,髓鞘化,/ˌmaɪəˈleɪʃən/,n.,生物,,Myelination is the process of forming a myelin sheath around a nerve to allow nerve impulses to move more quickly.,"During early childhood, rapid myelination of the brain's neural pathways is crucial for development.",myel in ation,marrow in process_of,251013F036,
Saltatory conduction - 跳跃式传导,M000225,Saltatory conduction,跳跃式传导,/ˈsɔltəˌtɔri kənˈdʌkʃən/,P.,生物,,"Saltatory conduction is the process by which nerve impulses jump between nodes of Ranvier, speeding up signal transmission.","In myelinated neurons, saltatory conduction allows for rapid transmission of nerve impulses.",saltare conducere,jump lead,251013F036,
Demyelinating disorders - 脱髓鞘疾病,M000226,Demyelinating disorders,脱髓鞘疾病,/diːˈmaɪəlɪneɪtɪŋ dɪsˈɔrdərz/,P.,醫學,,Demyelinating disorders are conditions that result in damage to the protective covering that surrounds nerve fibers in the central nervous system.,"Multiple sclerosis is one of the most common demyelinating disorders, affecting millions of people worldwide.",de myelin ate dis order,removal myelin make not condition,251013F036,
Lectrochemical gradients - 电化学梯度,M000227,Lectrochemical gradients,电化学梯度,,P.,生物,,Lectrochemical gradients refer to the combination of electric and chemical forces that drive the movement of ions across a membrane.,Cells use lectrochemical gradients to transport ions such as sodium and potassium across their membranes.,lectro chem ic al grad ient,electric chemical pertaining_to pertaining_to step difference,251013F036,
Ionic movement - 离子移动,M000228,Ionic movement,离子移动,,P.,化學,,Ionic movement refers to the motion of ions in a solution or across a membrane.,"In electrochemistry, ionic movement is crucial for the conduction of electricity in electrolyte solutions.",,,251013F036,
Trivial case - 平凡情形,M000229,Trivial case,平凡情形,/ˈtrɪviəl keɪs/,P.,數學,,A trivial case is a situation that is simple or of minor importance.,"In the study of mathematics, a trivial case often refers to results that are straightforward or immediately clear.",trivi al cas,three road condition,251013F036,
Membrane potential - 膜电位,M000230,Membrane potential,膜电位,/ˈmɛmˌbreɪn pəˈtɛnʃəl/,P.,生物,,Membrane potential is the difference in electric potential between the interior and the exterior of a biological cell.,Changes in the membrane potential can trigger nerve impulses in neurons.,membrane potentia,thin_layer power,251013F036,
Atpase - ATP 酶,M000231,Atpase,ATP 酶,/ˈætpˌeɪs/,n.,生物,,Atpase is an enzyme that catalyzes the decomposition of ATP into ADP and a free phosphate ion.,"In muscle cells, Atpase activities are crucial for providing the energy needed for contraction.",atp ase,adenosine_triphosphate enzyme,251013F036,
S-P pump - 钠-钾泵,M000232,S-P pump,钠-钾泵,,abbr.,生物,,The S-P pump is essential for maintaining the concentration gradients of sodium and potassium across the cell membrane.,"In cellular processes, the S-P pump actively transports sodium ions out of and potassium ions into the cell, maintaining essential functions.",,,251013F036,
Ion pump - 离子泵,M000233,Ion pump,离子泵,/ˈaɪ.ən pʌmp/,P.,物理,,"An ion pump is a device that uses a magnetic field to move ions, often utilized in vacuum systems to maintain low pressure.",The laboratory's vacuum system was equipped with an ion pump to ensure the necessary experimental conditions.,ion pump,charged_particle push,251013F036,
Depolarization - 去极化,M000234,Depolarization,去极化,/diːˌpoʊlərəˈzeɪʃən/,n.,生物,,Depolarization is the process by which a cell's membrane potential becomes less negative.,"During a nerve impulse, depolarization rapidly occurs followed by repolarization.",de polar ization,opposite_of pole process_of_making,251013F036,
Hyperpolarization - 超极化,M000235,Hyperpolarization,超极化,/ˌhaɪpərpoʊˌlɑːraɪˈzeɪʃən/,n.,生物,,Hyperpolarization occurs when a cell's membrane potential becomes more negative than its resting potential.,"During an action potential, hyperpolarization helps return the neuron to its resting state after depolarization.",hyper polar ization,over axis ization,251013F036,
Synapse - 突触,M000236,Synapse,突触,/ˈsɪˌnæps/,n.,,,A synapse is a junction between two nerve cells where impulses pass by diffusion of a neurotransmitter.,"When one neuron fires, the impulse travels across the synapse to the next neuron.",syn apse,together join,251013F036,
Repolarization - 复极化,M000237,Repolarization,复极化,/ˌripəˌlɑrəˈzeɪʃən/,n.,醫學,,Repolarization is the process by which a cell restores its resting potential after depolarization.,"The electrocardiogram showed a normal repolarization phase, indicating healthy cardiac function.",re polar ization,again pole process,251013F036,
Chemical gradient - 化学梯度,M000238,Chemical gradient,化学梯度,/ˈkɛmɪkəl ˈɡreɪdiənt/,P.,生物,,A chemical gradient is a change in the concentration of a substance across a distance.,Cells can detect a chemical gradient to move toward higher concentrations of a substance.,chem ic al grad,chemical pertaining_to pertaining_to step,251013F036,
Intracellular - 细胞内,M000239,Intracellular,细胞内,/ˌɪntrəˈsɛljələr/,adj.,生物,,Intracellular refers to something located or occurring within a cell.,Intracellular processes include various metabolic activities essential for cell survival.,intra cell,within cell,251013F036,
Concentration - 浓度,M000240,Concentration,浓度,/ˌkɑːnsənˈtreɪʃən/,n.,化學,,Concentration refers to the amount of a substance within a certain volume of a solution.,The concentration of salt in seawater is higher than in fresh water.,con centro tion,with center process_of,251013F036,
Phospholipid - 磷脂,M000241,Phospholipid,磷脂,/ˌfɑːsfoʊˈlɪpɪd/,n.,生物,,A phospholipid is a type of lipid molecule that is a major component of cell membranes.,Phospholipids play a crucial role in cell membrane structure and function.,phospho lipid,phosphate fat,251013F036,
Bilayer - 双层,M000242,Bilayer,双层,/ˈbaɪˌleɪər/,n.,生物,,A bilayer is a structure consisting of two layers of molecules. ,The cell membrane is composed of a lipid bilayer that regulates entry and exit of substances.,bi layer,two layer,251013F036,
Mammalian - 哺乳动物的,M000243,Mammalian,哺乳动物的,/məˈmeɪliən/,adj.,生物,,Mammalian characteristics include the presence of mammary glands that produce milk.,The panda is a mammalian species native to China.,mamma,breast,251013F036,
Canonical ionic distributions - 典型离子分布,M000244,Canonical ionic distributions,典型离子分布,,P.,物理,RARE,Canonical ionic distributions refer to the typical arrangement of ions in a particular context.,"In plasma physics, researchers study canonical ionic distributions to understand plasma behavior.",canon ion,rule ion,251013F036,
Graded (Passive) potentials - 分级（被动）电位,M000245,Graded (Passive) potentials,分级（被动）电位,,P.,,RARE,Graded (passive) potentials refer to small changes in membrane potential that are not all-or-nothing responses like action potentials.,"In neuroscience, graded (passive) potentials can be summed over time and space to trigger an action potential if a threshold is reached.",,,251013F036,
Threshold potential - 阈电位,M000246,Threshold potential,阈电位,/ˈθrɛʃhoʊld pəˈtɛnʃəl/,P.,生物,,Threshold potential is the critical level to which a membrane potential must be depolarized to initiate an action potential.,"When the neuron reaches its threshold potential, it triggers an action potential, allowing nerve impulses to propagate.",thresh hold potent ial,limit hold power full_of,251013F036,
Overshoot - 超冲,M000247,Overshoot,超冲,/ˈoʊvərˌʃuːt/,vt.,物理,,To overshoot means to exceed a target or limit unintentionally.,The rocket's trajectory caused it to overshoot the intended landing site.,over shoot,beyond throw,251013F036,
Undershoot - 下冲,M000248,Undershoot,下冲,/ˌʌndərˈʃuːt/,vt.,航空,,To undershoot is to fall short of a target or goal.,The aircraft managed to undershoot the runway due to pilot error.,under shoot,below hit,251013F036,
Drift - 漂移,M000249,Drift,漂移,/drɪft/,vi.,,,Drift means to be carried slowly by a current of air or water.,The boat began to drift away from the shore as the tide changed.,,,251013F036,
V-G ion channels - 电压门控离子通道,M000250,V-G ion channels,电压门控离子通道,/vi dʒi aɪɑn ˈtʃænəlz/,P.,生物,,V-G ion channels are integral membrane proteins that are activated by changes in electrical membrane potential near the channel.,Researchers study V-G ion channels to understand how electrical signals trigger nerve impulses.,,,251013F036,
Gastropod - 腹足类动物,M000251,Gastropod,腹足类动物,/ˈɡæstrəˌpɑd/,n.,生物,,A gastropod is a type of mollusk that typically has a single coiled shell and moves using a muscular foot on its stomach side.,The garden snail is a common gastropod that can be found in many backyards.,gastro pod,stomach foot,251013F036,
Nodes of ranvier - 朗飞结,M000252,Nodes of ranvier,朗飞结,/ˈnoʊdz əv ˌrɑːnviˈeɪ/,P.,生物,,Nodes of Ranvier are gaps in the myelin sheath of a nerve cell where action potentials are recharged.,The rapid conduction of nerve impulses is facilitated by the nodes of Ranvier that interrupt the myelin sheath at intervals.,nod ranvi er,knot great_studier person,251013F036,
Saltatory conduction - 跳跃式传导,M000253,Saltatory conduction,跳跃式传导,/ˈsɔːltəˌtɔri kənˈdʌkʃən/,P.,醫學,,Saltatory conduction is the process by which nerve impulses jump between the nodes of Ranvier in myelinated neurons.,Saltatory conduction significantly increases the speed of neural transmission compared to continuous conduction.,saltat ory con duct ion,jump related_to together lead action,251013F036,
Pathologies - 病理学,M000254,Pathologies,病理学,/pəˈθɑːlədʒiz/,n.,醫學,,Pathologies is the scientific study of diseases and their causes and effects.,New advancements in pathologies have led to better diagnostic tools in medicine.,patho logy,disease study_of,251013F036,
Autoimmune - 自身免疫性,M000255,Autoimmune,自身免疫性,/ˌɔːtoʊɪˈmjuːn/,adj.,醫學,,An autoimmune disorder occurs when the immune system mistakenly attacks the body's own cells.,Rheumatoid arthritis is a common example of an autoimmune disease.,auto immun,self safe,251013F036,
Multiple sclerosis - 多发性硬化,M000256,Multiple sclerosis,多发性硬化,/ˈmʌltɪpəl skləˈroʊsɪs/,P.,醫學,,Multiple sclerosis is a chronic autoimmune disease affecting the central nervous system.,She was diagnosed with multiple sclerosis after experiencing blurred vision and fatigue.,multi ple scler osis,many fold hardening condition,251013F036,
Guillain-barré syndrome - 格林－巴利综合征,M000257,Guillain-barré syndrome,格林－巴利综合征,/ˌgiˌjæn bəˈreɪ ˈsɪnˌdroʊm/,P.,醫學,,Guillain-Barré syndrome is an acute disorder that affects the peripheral nervous system.,"After a viral infection, some patients may develop Guillain-Barré syndrome, leading to muscle weakness and paralysis.",syndrome,symptoms_running_together,251013F036,
