AP - 动作电位,M000222,AP,动作电位,,abbr.,,,"An AP, or action potential, is a rapid electrical signal that travels along neurons.","During the experiment, the researcher measured the frequency of APs generated by the neurons in response to stimuli.",,,250928A036,「before a」
Propagation - 传导,M000223,Propagation,传导,/ˌprɒpəˈɡeɪʃən/,n.,物理,,"Propagation is the act of transmitting something, such as a wave or a signal, through a medium.",The propagation of sound waves through the air is essential for communication.,,,250928A036,「before a」
Myelination - 髓鞘化,M000224,Myelination,髓鞘化,/ˌmaɪəˈlɪneɪʃən/,n.,生物,,Myelination is the process by which a myelin sheath forms around a nerve fiber.,The speed of nerve impulse conduction increases significantly with myelination.,,,250928A036,「before a」
Saltatory conduction - 跳跃式传导,M000225,Saltatory conduction,跳跃式传导,/ˌsæl.təˌtɔːr.i ˌkənˈdʌk.ʃən/,P.,,,Saltatory conduction refers to the process by which nerve impulses are rapidly transmitted along myelinated axons.,"In the nervous system, saltatory conduction significantly increases the speed at which signals travel between neurons.",saltatory conduction,jumping_transmission,250928A036,「before a」
Demyelinating disorders - 脱髓鞘疾病,M000226,Demyelinating disorders,脱髓鞘疾病,/ˌdiːˌmaɪəˈleɪnˈeɪtɪŋ dɪsˈɔrdərz/,P.,醫學,,"Demyelinating disorders are conditions that damage the protective covering of nerves, known as myelin.",Multiple sclerosis is one of the most common demyelinating disorders diagnosed in adults.,,,250928A036,「before a」
Lectrochemical gradients - 电化学梯度,M000227,Lectrochemical gradients,电化学梯度,/ˌlɛk.troʊˈkɛm.ɪ.kəl ˈɡreɪ.dɪnts/,P.,生物,,Lectrochemical gradients refer to the differences in electric and chemical concentrations across a membrane.,"In cellular biology, lectrochemical gradients are essential for processes like nerve impulse transmission.",lectro chemical gradient,electric chemical_difference,250928A036,「before a」
Ionic movement - 离子移动,M000228,Ionic movement,离子移动,/aɪˈɒnɪk ˈmuːvmənt/,P.,化學,,Ionic movement refers to the displacement of ions in a medium.,The ionic movement in the electrolyte allows the battery to function effectively.,ionic movement,displacement_of_ions,250928A036,「before a」
Trivial case - 平凡情形,M000229,Trivial case,平凡情形,/ˈtrɪviəl keɪs/,P.,,,A trivial case is one that requires little thought or effort to solve.,"In this study, we found that even a trivial case could lead to significant discussions about the broader implications of the findings.",trivial case,simple_instance,250928A036,「before a」
Membrane potential - 膜电位,M000230,Membrane potential,膜电位,/ˈmɛmˌbreɪn pəˈtɛnʃəl/,P.,生物,,The membrane potential refers to the voltage difference across a cell's membrane.,Researchers measured the membrane potential of the neurons to understand their activity.,,,250928A036,「before a」
Atpase - ATP 酶,M000231,Atpase,ATP 酶,/ˈeɪtiˌpeɪˌeɪs/,n.,生物,,Atpase is an enzyme that catalyzes the hydrolysis of ATP into ADP and phosphate.,The study of Atpase activity is crucial for understanding cellular energy metabolism.,,,250928A036,「before a」
S-P pump - 钠-钾泵,M000232,S-P pump,钠-钾泵,,abbr.,生物,,The S-P pump is essential for maintaining cellular ion balance in the body.,Researchers study the S-P pump to understand its role in cell function and health.,,,250928A036,「before a」
Ion pump - 离子泵,M000233,Ion pump,离子泵,/ˈaɪən pʌmp/,P.,,,An ion pump is a vital component that actively transports ions across a cell membrane.,The heart cells utilize an ion pump to maintain the necessary ionic balance for proper function.,ion pump,ion_pump,250928A036,「before a」
Depolarization - 去极化,M000234,Depolarization,去极化,/ˌdiːˌpoʊlərɪˈzeɪʃən/,n.,生物,,Depolarization is a process that decreases the polarity across a cell membrane.,The nerve impulse is initiated by depolarization of the neuronal membrane.,,,250928A036,「before a」
Hyperpolarization - 超极化,M000235,Hyperpolarization,超极化,/ˌhaɪpərˌpoʊlərɪˈzeɪʃən/,n.,生物,,Hyperpolarization refers to an increase in the polarization of a cell's membrane potential.,"During the experiment, the neurons experienced hyperpolarization, making it less likely for them to fire action potentials.",,,250928A036,「before a」
Synapse - 突触,M000236,Synapse,突触,/ˈsɪnæps/,n.,生物,,A synapse is the junction between two neurons where information is transmitted.,The speed of signal transmission at the synapse can affect reflex actions.,,,250928A036,「before a」
Repolarization - 复极化,M000237,Repolarization,复极化,/ˌriːˌpoʊlərɪˈzeɪʃən/,n.,醫學,,Repolarization is the process by which a nerve cell returns to its resting state after firing an action potential.,"During the cardiac cycle, repolarization of the heart's chambers is crucial for maintaining a regular heartbeat.",,,250928A036,「before a」
Chemical gradient - 化学梯度,M000238,Chemical gradient,化学梯度,/ˈkɛmɪkəl ˈɡreɪdɪənt/,P.,生物,,A chemical gradient refers to the variation in the concentration of a substance across space.,Cells in the body often respond to changes in the chemical gradient to facilitate nutrient uptake.,,,250928A036,「before a」
Intracellular - 细胞内,M000239,Intracellular,细胞内,/ˌɪntrəˈsɛl.jə.lɚ/,adj.,生物,,Intracellular processes occur within the cell.,The researchers focused on intracellular communication between neurons in the brain.,,,250928A036,「before a」
Concentration - 浓度,M000240,Concentration,浓度,/ˌkɒnsənˈtreɪʃən/,n.,化學,,Concentration refers to the amount of a substance in a given volume of solution.,The concentration of salt in the water was tested to determine its salinity.,,,250928A036,「before a」
Phospholipid - 磷脂,M000241,Phospholipid,磷脂,/ˌfɑsfoʊˈlɪpɪd/,n.,生物,,A phospholipid is a type of lipid molecule that is a major component of cell membranes.,"In the study of cell biology, researchers often explore the role of phospholipids in forming bilayers that protect cells.",,,250928A036,「before a」
Bilayer - 双层,M000242,Bilayer,双层,/ˈbaɪˌleɪər/,n.,,,"A bilayer consists of two layers, typically in a structure or material.",The cell membrane is a classic example of a bilayer that protects the interior of the cell.,,,250928A036,「before a」
Mammalian - 哺乳动物的,M000243,Mammalian,哺乳动物的,/məˈmeɪliən/,adj.,生物,,Mammalian species possess characteristics that distinguish them from reptiles and birds.,Dolphins are a well-known mammalian group that exhibits high intelligence and social behavior.,,,250928A036,「before a」
Canonical ionic distributions - 典型离子分布,M000244,Canonical ionic distributions,典型离子分布,/kəˈnænɪkl ˈaɪɒnɪk dɪsˈtrɪbjuːʃənz/,P.,物理,,Canonical ionic distributions refer to standard arrangements of ions in a given system.,"In studying solid-state physics, one often analyzes canonical ionic distributions to understand material properties.",canonical ionic distribution,standard_arrangements_of_ions,250928A036,「before a」
Graded (Passive) potentials - 分级（被动）电位,M000245,Graded (Passive) potentials,分级（被动）电位,/ˈɡreɪdɪd pəˈtɛnʃəlz/,P.,生物,,Graded (passive) potentials are small changes in membrane potential that vary in size and are not all-or-nothing events.,Neurons rely on graded (passive) potentials to integrate the incoming signals before firing an action potential.,,,250928A036,「before a」
Threshold potential - 阈电位,M000246,Threshold potential,阈电位,/ˈθrɛʃhoʊld pəˈtɛnʃəl/,P.,,,Threshold potential refers to the minimum level of stimulus required to trigger a response in a neuron.,The neuron reached its threshold potential and fired an action potential as a result of the stimuli.,threshold potential,minimum_level_of_stimulus_required_to_trigger_response,250928A036,「before a」
Overshoot - 超冲,M000247,Overshoot,超冲,/ˈoʊvərˌʃut/,vt.,,,To overshoot means to go beyond a target or point of reference.,"In the stock market, investors often tend to overshoot their expectations during rapid price increases.",,,250928A036,「before a」
Undershoot - 下冲,M000248,Undershoot,下冲,/ˌʌndərˈʃut/,vt.,,,To undershoot means to fail to reach a target or goal.,"The archer managed to undershoot the bullseye, landing his arrow just short of the center.",,,250928A036,「before a」
Drift - 漂移,M000249,Drift,漂移,/drɪft/,vi.,,,"To drift means to move slowly and aimlessly, often in a floating manner.","As the boat began to drift away from the shore, we realized we had no anchor.",,,250928A036,「before a」
V-G ion channels - 电压门控离子通道,M000250,V-G ion channels,电压门控离子通道,,abbr.,,,V-G ion channels are essential for the generation and propagation of action potentials in excitable cells.,The study focused on how different drugs affect the functioning of V-G ion channels in neurons.,,,250928A036,「before a」
Gastropod - 腹足类动物,M000251,Gastropod,腹足类动物,/ˈɡæstrəˌpɒd/,n.,生物,,A gastropod is a type of mollusk that usually has a single shell or no shell at all.,The garden snail is a common example of a gastropod found in many backyards.,,,250928A036,「before a」
Nodes of ranvier - 朗飞结,M000252,Nodes of ranvier,朗飞结,/ˈnoʊdz əv ˈrænvɪər/,P.,生物,,Nodes of Ranvier are gaps in the myelin sheath of a nerve fiber that facilitate the rapid conduction of electrical signals.,"In multiple sclerosis, the damage to the nodes of Ranvier can slow down or block nerve signal transmission.",nodes of ranvier,gaps_in_the_myelin_sheath,250928A036,「before a」
Saltatory conduction - 跳跃式传导,M000253,Saltatory conduction,跳跃式传导,/ˌsælˈteɪtəri kənˈdʌkʃən/,P.,生物,,"Saltatory conduction refers to the process by which nerve impulses are transmitted along myelinated fibers, jumping from one node of Ranvier to another.",The saltatory conduction in myelinated axons allows for faster signal transmission compared to unmyelinated fibers.,saltatory conduction,jumping_transfer_of_signals,250928A036,「before a」
Pathologies - 病理学,M000254,Pathologies,病理学,/pəˈθælədʒiz/,n.,醫學,,Pathologies refer to the study of diseases and their effects on the body.,The medical conference focused on the latest advancements in pathologies affecting the nervous system.,,,250928A036,「before a」
Autoimmune - 自身免疫性,M000255,Autoimmune,自身免疫性,/ˌɔːtəʊɪˈmjun/,adj.,醫學,,"An autoimmune response occurs when the body's immune system mistakenly attacks its own tissues, which is the principle of autoimmune diseases.",Type 1 diabetes is an example of an autoimmune condition where the immune system attacks insulin-producing cells in the pancreas.,,,250928A036,「before a」
Multiple sclerosis - 多发性硬化,M000256,Multiple sclerosis,多发性硬化,,P.,醫學,,Multiple sclerosis is a disease that affects the central nervous system and leads to a variety of symptoms.,Many people diagnosed with multiple sclerosis find that managing their symptoms can be challenging.,,,250928A036,「before a」
Guillain-barré syndrome - 格林－巴利综合征,M000257,Guillain-barré syndrome,格林－巴利综合征,,P.,醫學,,Guillain-barré syndrome is a rare neurological disorder in which the body's immune system mistakenly attacks the peripheral nerves.,"After experiencing flu-like symptoms, she was diagnosed with Guillain-barré syndrome, leading to a gradual onset of muscle weakness.",,,250928A036,「before a」
