AP - 动作电位,M000222,AP,动作电位,,abbr.,,,"AP is the abbreviation for action potential, a rapid change in electrical charge across a cell membrane.",The neuroscientist measured the AP frequency to determine the neuron's firing rate.,,,250928B036,
Propagation - 传导,M000223,Propagation,传导,/ˌprɑpəˈgeɪʃən/,n.,,,The propagation of electrical signals through nerve fibers allows the body to respond to stimuli.,Scientists studied the propagation of action potentials along myelinated axons to understand neural communication.,pro pag ation,forward drive noun_suffix,250928B036,
Myelination - 髓鞘化,M000224,Myelination,髓鞘化,/ˌmaɪəlɪˈneɪʃən/,n.,,,Myelination is the process of forming a myelin sheath around nerve fibers to increase the speed of electrical impulse transmission.,"During childhood development, myelination of brain neurons continues into the twenties, affecting cognitive abilities and motor skills.",myel in ation,marrow in process,250928B036,
Saltatory conduction - 跳跃式传导,M000225,Saltatory conduction,跳跃式传导,/ˈsæltəˌtɔri kənˈdʌkʃən/,P.,,,Saltatory conduction is the rapid propagation of action potentials along myelinated axons where the electrical signal jumps from one node of Ranvier to the next.,"The myelin sheath enables saltatory conduction in neurons, allowing nerve impulses to travel up to 100 times faster than in unmyelinated fibers.",salt duct,leap lead,250928B036,
Demyelinating disorders - 脱髓鞘疾病,M000226,Demyelinating disorders,脱髓鞘疾病,/diˌmaɪəlɪˌneɪtɪŋ dɪsˈɔrdɚz/,P.,,,Demyelinating disorders are a group of diseases that damage the protective myelin sheath surrounding nerve fibers in the brain and spinal cord.,Multiple sclerosis is one of the most common demyelinating disorders affecting young adults worldwide.,de myelin,remove myelin,250928B036,
Lectrochemical gradients - 电化学梯度,M000227,Lectrochemical gradients,电化学梯度,/ˌɛlɛktroʊˈkɛmɪkəl ˈgreɪdiənts/,P.,生化,,Electrochemical gradients are concentration differences of ions across a membrane that create both electrical and chemical potential energy.,Mitochondria use electrochemical gradients of protons across the inner membrane to drive ATP synthesis during cellular respiration.,electro chem,electric chemical,250928B036,
Ionic movement - 离子移动,M000228,Ionic movement,离子移动,/aɪˈɑnɪk ˈmuvmənt/,P.,化學,,Ionic movement refers to the migration of charged atoms or molecules through a medium under the influence of an electric field or concentration gradient.,The ionic movement across the cell membrane is essential for generating action potentials in neurons.,,,250928B036,
Trivial case - 平凡情形,M000229,Trivial case,平凡情形,/ˈtrɪviəl keɪs/,P.,數學,,"A trivial case is a problem or situation that has an obvious, simple, or uninteresting solution requiring no special techniques.","In proving this theorem, we first handle the trivial case where n equals zero, then proceed to the general case.",,,250928B036,
Membrane potential - 膜电位,M000230,Membrane potential,膜电位,/ˈmembreɪn pəˈtenʃəl/,P.,,,Membrane potential is the electrical voltage difference across a cell's plasma membrane due to the separation of charged ions.,The neuron's membrane potential changes from -70 mV to +30 mV during the action potential spike.,,,250928B036,
Atpase - ATP 酶,M000231,Atpase,ATP 酶,/ˌeɪtiːpiːˈeɪs/,n.,生化,,ATPase is an enzyme that catalyzes the breakdown of ATP into ADP and phosphate to release energy.,The sodium-potassium ATPase maintains the cell's electrochemical gradient by pumping sodium out and potassium in.,,,250928B036,
S-P pump - 钠-钾泵,M000232,S-P pump,钠-钾泵,/ˈsoʊdiəm poʊˈtæsiəm pʌmp/,P.,生化,,The S-P pump is a cellular membrane protein that actively transports sodium ions out of cells and potassium ions into cells.,"The S-P pump maintains the electrical gradient across nerve cell membranes, which is essential for nerve impulse transmission.",,,250928B036,
Ion pump - 离子泵,M000233,Ion pump,离子泵,/ˈaɪən pʌmp/,P.,生化,,An ion pump is a membrane protein that actively transports ions across a cell membrane against their concentration gradient.,The sodium-potassium ion pump maintains the electrical potential across nerve cell membranes by moving three sodium ions out for every two potassium ions moved in.,,,250928B036,
Depolarization - 去极化,M000234,Depolarization,去极化,/diˌpoʊlərɪˈzeɪʃən/,n.,,,Depolarization is the process by which a cell membrane's electrical charge becomes less negative or more positive.,"During an action potential, sodium channels open and cause rapid depolarization of the neuron's membrane.",de polar ization,reverse pole forming,250928B036,
Hyperpolarization - 超极化,M000235,Hyperpolarization,超极化,/ˌhaɪpɚˌpoʊlɚrɪˈzeɪʃən/,n.,,,"Hyperpolarization is the increase in a cell membrane's electrical potential, making it more negative than the resting state.","During neural inhibition, hyperpolarization prevents the neuron from firing an action potential.",hyper polar ization,over pole process_of,250928B036,
Synapse - 突触,M000236,Synapse,突触,/ˈsɪnæps/,n.,,,A synapse is the junction between two nerve cells where electrical or chemical signals are transmitted.,The neurotransmitters released at the synapse help relay messages from one neuron to the next.,syn apse,together junction,250928B036,
Repolarization - 复极化,M000237,Repolarization,复极化,/ˌriːpoʊlərɪˈzeɪʃən/,n.,生理,,Repolarization is the process by which a cell membrane returns to its resting electrical potential after depolarization.,"During cardiac repolarization, potassium ions flow out of the heart muscle cells to restore the negative charge inside.",re polar ization,again pole process,250928B036,
Chemical gradient - 化学梯度,M000238,Chemical gradient,化学梯度,/ˈkemɪkəl ˈɡreɪdiənt/,P.,化學,,A chemical gradient is the gradual change in concentration of a substance across a distance or space.,"Neurons release neurotransmitters that create a chemical gradient, allowing signals to travel from one cell to another.",,,250928B036,
Intracellular - 细胞内,M000239,Intracellular,细胞内,/ˌɪntrəˈsɛljələr/,adj.,生物,,Intracellular processes occur inside the cell membrane.,The intracellular concentration of calcium ions regulates muscle contraction.,intra cellul ar,within cell relating_to,250928B036,
Concentration - 浓度,M000240,Concentration,浓度,/ˌkɑːnsənˈtreɪʃən/,n.,化學,,The concentration of a substance is the amount of it contained in a particular volume of liquid or gas.,The concentration of salt in seawater varies between 3.3% and 3.7% depending on location.,,,250928B036,
Phospholipid - 磷脂,M000241,Phospholipid,磷脂,/ˌfɑsfəˈlɪpɪd/,n.,生化,,A phospholipid is a type of lipid molecule that contains a phosphate group and forms the main component of cell membranes.,The phospholipid bilayer of the cell membrane regulates which substances can enter and exit the cell.,phospho lipid,phosphate fat,250928B036,
Bilayer - 双层,M000242,Bilayer,双层,/ˈbaɪˌleɪɚ/,n.,生物,,"A bilayer is a structure consisting of two layers of molecules, especially in cell membranes.",The cell membrane's phospholipid bilayer acts as a barrier between the inside and outside of the cell.,bi layer,two layer,250928B036,
Mammalian - 哺乳动物的,M000243,Mammalian,哺乳动物的,/məˈmeɪliən/,adj.,生物,,"Mammalian characteristics include warm blood, hair or fur, and the ability to produce milk for offspring.",The mammalian brain has evolved complex structures for processing emotions and social behaviors.,,,250928B036,
Canonical ionic distributions - 典型离子分布,M000244,Canonical ionic distributions,典型离子分布,/kəˈnɑnɪkəl aɪˈɑnɪk ˌdɪstrɪˈbjuʃənz/,P.,生化,,Canonical ionic distributions refer to the standard or most representative patterns of ion concentrations across cellular membranes or within specific biological compartments.,The researchers used computational models to predict canonical ionic distributions in neurons under different physiological conditions.,,,250928B036,
Graded (Passive) potentials - 分级（被动）电位,M000245,Graded (Passive) potentials,分级（被动）电位,/ˈɡreɪdɪd ˈpæsɪv pəˈtɛnʃəlz/,P.,,,Graded (Passive) potentials are electrical responses in neurons that vary in magnitude proportionally to the strength of the stimulus and decrease with distance from the stimulus site.,The dendrites of sensory neurons generate graded (passive) potentials that must reach a threshold before triggering an action potential at the axon hillock.,,,250928B036,
Threshold potential - 阈电位,M000246,Threshold potential,阈电位,/ˈθreʃhoʊld pəˈtenʃəl/,P.,,,The threshold potential is the critical level of depolarization that a membrane potential must reach to trigger an action potential in a neuron or muscle cell.,"When the sodium ions rush into the cell and the membrane reaches the threshold potential of approximately -55mV, the neuron fires an action potential.",,,250928B036,
Overshoot - 超冲,M000247,Overshoot,超冲,/ˌoʊvɚˈʃuːt/,vt.,,,The aircraft will overshoot the runway if the pilot doesn't reduce speed immediately.,The economy tends to overshoot its target growth rate during periods of excessive stimulus.,over shoot,beyond shoot,250928B036,
Undershoot - 下冲,M000248,Undershoot,下冲,/ˌʌndɚˈʃut/,vt.,,,The aircraft began to undershoot the runway due to insufficient thrust during the final approach.,The pilot had to apply full throttle when he realized the plane would undershoot the intended landing zone by several hundred feet.,under shoot,below aim,250928B036,
Drift - 漂移,M000249,Drift,漂移,/drɪft/,vi.,,,The car began to drift sideways on the icy road.,"During the race, the driver expertly let his vehicle drift through the sharp corner.",,,250928B036,
V-G ion channels - 电压门控离子通道,M000250,V-G ion channels,电压门控离子通道,/ˈvi dʒi ˈaɪən ˈtʃænəlz/,P.,,,"V-G ion channels are transmembrane proteins that open or close in response to changes in membrane potential, allowing specific ions to flow across the cell membrane.","The action potential is generated when V-G ion channels rapidly open, causing sodium ions to rush into the neuron.",,,250928B036,
Gastropod - 腹足类动物,M000251,Gastropod,腹足类动物,/ˈɡæstrəpɑd/,n.,生物,,A gastropod is a mollusk that typically has a single coiled shell and moves by means of a muscular foot on its underside.,The garden snail is a common gastropod that can damage vegetable crops by eating the leaves.,gastro pod,stomach foot,250928B036,
Nodes of ranvier - 朗飞结,M000252,Nodes of ranvier,朗飞结,/ˌnoʊdz əv ˈrɑnvieɪ/,P.,,,Nodes of Ranvier are regularly spaced gaps in the myelin sheath along nerve fibers where action potentials are regenerated.,The speed of nerve impulse conduction increases because the signal jumps from one node of Ranvier to the next in a process called saltatory conduction.,,,250928B036,
Saltatory conduction - 跳跃式传导,M000253,Saltatory conduction,跳跃式传导,/ˈsæltəˌtɔri kənˈdʌkʃən/,P.,,,Saltatory conduction is the rapid transmission of nerve impulses that jumps from one node of Ranvier to the next along myelinated axons.,"The myelin sheath enables saltatory conduction, allowing electrical signals to travel up to 100 times faster than in unmyelinated fibers.",salt duct,leap lead,250928B036,
Pathologies - 病理学,M000254,Pathologies,病理学,/pəˈθɑlədʒiz/,n.,醫學,,Pathologies are the scientific studies of diseases and the structural and functional changes they cause in the body.,The medical students spent hours reviewing different pathologies to prepare for their diagnostic exam.,patho log,disease study,250928B036,
Autoimmune - 自身免疫性,M000255,Autoimmune,自身免疫性,/ˌɔːtoʊɪˈmjuːn/,adj.,醫學,,An autoimmune condition occurs when the body's immune system mistakenly attacks its own healthy tissues.,Rheumatoid arthritis is an autoimmune disease that causes inflammation in the joints.,auto immune,self immune,250928B036,
Multiple sclerosis - 多发性硬化,M000256,Multiple sclerosis,多发性硬化,/ˈmʌltɪpəl skləˈroʊsɪs/,P.,,,Multiple sclerosis is a chronic autoimmune disease that damages the protective covering of nerve fibers in the brain and spinal cord.,Her multiple sclerosis diagnosis came after years of experiencing unexplained numbness and fatigue.,multi scler,many hard,250928B036,
Guillain-barré syndrome - 格林－巴利综合征,M000257,Guillain-barré syndrome,格林－巴利综合征,/ɡiˈlæn bɑˈreɪ ˈsɪndroʊm/,P.,,,"Guillain-Barré syndrome is a rare neurological disorder in which the body's immune system attacks the peripheral nerves, causing muscle weakness and sometimes paralysis.",The patient was diagnosed with Guillain-Barré syndrome after experiencing progressive weakness in both legs following a respiratory infection.,,,250928B036,
