AP - 动作电位,M000222,AP,动作电位,,abbr.,,,"AP stands for action potential, which is a significant change in electrical potential across a cell membrane during a nerve impulse.",The neuron generated an AP that triggered the muscle contraction.,,,251007C036,「再测试一下」
Propagation - 传导,M000223,Propagation,传导,/ˌprɒpəˈɡeɪʃən/,n.,物理,,Propagation is the process by which waves travel through a medium.,The propagation of sound waves can be affected by temperature and humidity.,,,251007C036,「再测试一下」
Myelination - 髓鞘化,M000224,Myelination,髓鞘化,/ˌmaɪəˈleɪʃən/,n.,生物,,Myelination is the process of forming a myelin sheath around the nerves.,The speed of nerve signal transmission increases due to myelination.,,,251007C036,「再测试一下」
Saltatory conduction - 跳跃式传导,M000225,Saltatory conduction,跳跃式传导,/ˌsæl.təˈtɔːr.i ˈkɒn.dʌk.ʃən/,P.,生物,,Saltatory conduction refers to the process where nerve impulses jump from one node of Ranvier to the next along myelinated axons.,"The rapid transmission of signals in the nervous system is due to saltatory conduction, which increases the speed of nerve impulses.",saltatory conduction,jumping_transmission,251007C036,「再测试一下」
Demyelinating disorders - 脱髓鞘疾病,M000226,Demyelinating disorders,脱髓鞘疾病,/ˌdiˌmaɪəˈleɪnˌeɪtɪŋ dɪsˈɔrdərz/,P.,醫學,,"Demyelinating disorders are conditions that damage the protective covering of nerves, leading to various neurological symptoms.",Multiple sclerosis is one of the most common demyelinating disorders affecting young adults.,demyelinate disorder,remove_myelin issue,251007C036,「再测试一下」
Lectrochemical gradients - 电化学梯度,M000227,Lectrochemical gradients,电化学梯度,/ˌlɛk.trəˈkɛm.ɪ.kəl ˈɡreɪ.dɪnts/,P.,生物,,Lectrochemical gradients are important for understanding how ions move across membranes in biological systems.,The study focused on the role of lectrochemical gradients in neuron signaling during an action potential.,lectro chemical gradient,electric_chemistry gradient,251007C036,「再测试一下」
Ionic movement - 离子移动,M000228,Ionic movement,离子移动,/aɪˈɑnɪk ˈmuːvmənt/,P.,化學,,Ionic movement refers to the transport of charged particles through a medium.,"In battery technology, ionic movement is crucial for the generation of electric current.",ionic movement,transport_of_charged_particles,251007C036,「再测试一下」
Trivial case - 平凡情形,M000229,Trivial case,平凡情形,/ˈtrɪviəl keɪs/,P.,,,A trivial case refers to a situation that is considered simple or unimportant.,"In legal discussions, a trivial case might not warrant much attention from the court.",trivial case,simple_case,251007C036,「再测试一下」
Membrane potential - 膜电位,M000230,Membrane potential,膜电位,/ˈmɛmˌbreɪn pəˈtɛnʃəl/,P.,生物,,Membrane potential refers to the electrical potential difference across a cell's membrane.,The neuron's membrane potential changes when it receives a signal from another neuron.,membrane potential,electrical_potential_difference_across_a_cell's_membrane,251007C036,「再测试一下」
Atpase - ATP 酶,M000231,Atpase,ATP 酶,/ˈeɪ ti ˌpeɪ eɪs/,n.,生化,,Atpase is an enzyme that catalyzes the decomposition of ATP into ADP and free phosphate.,The researcher studied the Atpase to understand its role in muscle contraction.,,,251007C036,「再测试一下」
S-P pump - 钠-钾泵,M000232,S-P pump,钠-钾泵,,abbr.,醫學,,The S-P pump is essential for maintaining the balance of sodium and potassium in cells.,"Researchers studied how the malfunctioning of the S-P pump can lead to various health issues, including heart disease.",,,251007C036,「再测试一下」
Ion pump - 离子泵,M000233,Ion pump,离子泵,/ˈaɪˌɑn pʌmp/,P.,生物,,An ion pump is a protein that moves ions across a cell membrane against their concentration gradient.,"In muscle cells, the sodium-potassium ion pump plays a crucial role in maintaining the necessary ion balance for contraction.",,,251007C036,「再测试一下」
Depolarization - 去极化,M000234,Depolarization,去极化,/ˌdipolarɪˈzeɪʃən/,n.,生物,,Depolarization refers to the process by which a cell membrane potential becomes less negative or more positive.,"During the action potential of a neuron, depolarization occurs when sodium channels open, allowing positive ions to rush in.",,,251007C036,「再测试一下」
Hyperpolarization - 超极化,M000235,Hyperpolarization,超极化,/ˈhaɪpərˌpoʊlərɪˈzeɪʃən/,n.,生物,,Hyperpolarization occurs when the inside of a cell becomes more negative than its resting membrane potential.,"During the process of hyperpolarization, neuron excitability decreases significantly.",,,251007C036,「再测试一下」
Synapse - 突触,M000236,Synapse,突触,/ˈsɪnæps/,n.,生物,,A synapse is the junction between two nerve cells where signals are transmitted.,Neurotransmitters are released at the synapse to communicate between neurons.,,,251007C036,「再测试一下」
Repolarization - 复极化,M000237,Repolarization,复极化,/ˌriːpoʊləraɪˈzeɪʃən/,n.,醫學,,Repolarization refers to the process by which a cell restores its membrane potential following depolarization.,"During the cardiac cycle, repolarization of the heart muscle is crucial for it to reset before the next contraction.",,,251007C036,「再测试一下」
Chemical gradient - 化学梯度,M000238,Chemical gradient,化学梯度,/ˈkɛmɪkəl ˈɡreɪdiənt/,P.,生物,,A chemical gradient exists when the concentration of a substance changes over a certain distance.,"In cellular biology, the movement of substances often follows a chemical gradient to maintain homeostasis.",,,251007C036,「再测试一下」
Intracellular - 细胞内,M000239,Intracellular,细胞内,/ɪntrəˈsɛljələr/,adj.,生物,,Intracellular processes occur within the cell.,The study focused on intracellular signaling pathways that regulate cell growth.,,,251007C036,「再测试一下」
Concentration - 浓度,M000240,Concentration,浓度,/ˌkɒn.sənˈtreɪ.ʃən/,n.,化學,,"Concentration refers to the amount of a substance in a given volume, such as the concentration of salt in seawater.",The concentration of the dye in the solution was measured before the experiment.,,,251007C036,「再测试一下」
Phospholipid - 磷脂,M000241,Phospholipid,磷脂,/ˌfɑːs fəˈlɪp ɪd/,n.,生物,,A phospholipid is a type of fat molecule that is a major component of cell membranes.,"The structure of a phospholipid allows it to form bilayers in the cellular membranes, crucial for cell function.",,,251007C036,「再测试一下」
Bilayer - 双层,M000242,Bilayer,双层,/ˈbaɪˌleɪər/,n.,生物,,A bilayer is a structure consisting of two layers of material stacked together.,The cell membrane is composed of a phospholipid bilayer that separates the interior of the cell from the external environment.,,,251007C036,「再测试一下」
Mammalian - 哺乳动物的,M000243,Mammalian,哺乳动物的,/məˈmeɪliən/,adj.,生物,,Mammalian creatures are distinguished by their ability to produce milk for their young.,Whales are often classified as mammalian because they breathe air and give birth to live young.,,,251007C036,「再测试一下」
Canonical ionic distributions - 典型离子分布,M000244,Canonical ionic distributions,典型离子分布,/kəˈnænɪkəl ˈaɪənɪk dɪstrɪˈbjuːʃənz/,P.,化學,,Canonical ionic distributions refer to the standard ways that ions are arranged in a given system.,"In electrochemistry, researchers often analyze the canonical ionic distributions to understand the behavior of solutions in batteries.",canonical ionic distributions,standard_arrangements_of_ions_in_a_system,251007C036,「再测试一下」
Graded (Passive) potentials - 分级（被动）电位,M000245,Graded (Passive) potentials,分级（被动）电位,/ˈɡreɪdɪd pəˈtɛnʃəlz/,P.,生物,,Graded (passive) potentials are changes in membrane potential that vary in size and do not follow an all-or-nothing principle.,"In the study of neurons, graded (passive) potentials can influence the likelihood of an action potential occurring.",graded passive potentia,varying_change_in_membrane_existence,251007C036,「再测试一下」
Threshold potential - 阈电位,M000246,Threshold potential,阈电位,/ˈθrɛʃhoʊld pəˈtɛnʃəl/,P.,生物,,Threshold potential is the level of membrane potential at which an action potential is triggered.,"In neurons, the threshold potential must be reached for the nerve impulse to be transmitted.",threshold potential,level_of_membrane_potential,251007C036,「再测试一下」
Overshoot - 超冲,M000247,Overshoot,超冲,/ˈoʊvərʃut/,vt.,,,To overshoot means to exceed a target or limit.,"In a hurry to meet the deadline, she tended to overshoot her budget for the project.",,,251007C036,「再测试一下」
Undershoot - 下冲,M000248,Undershoot,下冲,/ˌʌndərˈʃut/,vt.,,,"To undershoot means to fail to reach a target, particularly in a physical context.",The pilot was careful not to undershoot the runway during landing.,,,251007C036,「再测试一下」
Drift - 漂移,M000249,Drift,漂移,/drɪft/,vi.,,,"To drift means to move slowly or casually without a specific destination, just like a boat can drift on the water.","As the storm grew stronger, the boat began to drift further away from the shore.",,,251007C036,「再测试一下」
V-G ion channels - 电压门控离子通道,M000250,V-G ion channels,电压门控离子通道,,abbr.,生物,,V-G ion channels are essential for the generation and propagation of action potentials in excitable cells.,"In neuron membranes, V-G ion channels open in response to membrane depolarization, allowing the influx of sodium ions.",,,251007C036,「再测试一下」
Gastropod - 腹足类动物,M000251,Gastropod,腹足类动物,/ˈɡæstrəˌpɒd/,n.,生物,,A gastropod is a type of mollusk that often has a spiraled shell and a distinct head.,"During our beach trip, we found several colorful gastropods hiding under the rocks.",,,251007C036,「再测试一下」
Nodes of ranvier - 朗飞结,M000252,Nodes of ranvier,朗飞结,/noʊdz əv ˈrænvɪər/,P.,生物,,Nodes of Ranvier are small gaps in the myelin sheath where action potentials are regenerated along a neuron.,The electrical impulses travel faster along myelinated axons thanks to the Nodes of Ranvier.,,,251007C036,「再测试一下」
Saltatory conduction - 跳跃式传导,M000253,Saltatory conduction,跳跃式传导,/sælˈtætəri kənˈdʌkʃən/,P.,生物,,Saltatory conduction is a process that occurs when nerve impulses jump from one node to another along the axon.,"In my biology class, we learned that saltatory conduction speeds up neural signals dramatically compared to continuous conduction.",saltatory conduction,jumping_transmission,251007C036,「再测试一下」
Pathologies - 病理学,M000254,Pathologies,病理学,/pəˈθɒlədʒiz/,n.,醫學,,Pathologies are the scientific study of diseases and their causes.,"In her research, she focused on the pathologies that affect the respiratory system.",,,251007C036,「再测试一下」
Autoimmune - 自身免疫性,M000255,Autoimmune,自身免疫性,/ˌɔːtəʊɪˈmjun/,adj.,醫學,,"An autoimmune condition occurs when the body's immune system mistakenly attacks its own cells, which is characteristic of autoimmune diseases.",Many people with autoimmune disorders struggle to find effective treatments for their chronic conditions.,auto immun,self_defense,251007C036,「再测试一下」
Multiple sclerosis - 多发性硬化,M000256,Multiple sclerosis,多发性硬化,,abbr.,醫學,,Multiple sclerosis is a chronic illness that affects the central nervous system.,"After being diagnosed with multiple sclerosis, she joined a support group to learn more about the condition.",,,251007C036,「再测试一下」
Guillain-barré syndrome - 格林－巴利综合征,M000257,Guillain-barré syndrome,格林－巴利综合征,,P.,醫學,,Guillain-Barré syndrome is a rare neurological disorder characterized by rapid onset muscle weakness.,"After experiencing flu-like symptoms, she was diagnosed with Guillain-Barré syndrome.",,,251007C036,「再测试一下」
