AP - 动作电位,M000222,AP,动作电位,,abbr.,,,"AP stands for action potential, which is a rapid rise and fall in voltage or electrical charge across a cell membrane.","The neuron generates an AP in response to a stimulus, allowing communication between nerve cells.",,,251010A036,
Propagation - 传导,M000223,Propagation,传导,/ˌprɒpəˈɡeɪʃən/,n.,物理,,Propagation refers to the transmission of energy through various mediums.,The propagation of sound waves through the air allows us to hear music from a distance.,,,251010A036,
Myelination - 髓鞘化,M000224,Myelination,髓鞘化,/ˌmaɪəˈlɪneɪʃən/,n.,醫學,,Myelination is the process by which myelin forms around the axons of neurons.,The researchers studied the effects of age on the rate of myelination in human brains.,,,251010A036,
Saltatory conduction - 跳跃式传导,M000225,Saltatory conduction,跳跃式传导,/ˌsɒltəˈtɔːri kənˈdʌkʃən/,P.,生物,,Saltatory conduction is the process by which nerve impulses jump from one node of Ranvier to another along a myelinated axon.,"In a myelinated neuron, saltatory conduction significantly increases the speed of the electrical signal compared to continuous conduction.",saltatory conduction,jumping_transmission,251010A036,
Demyelinating disorders - 脱髓鞘疾病,M000226,Demyelinating disorders,脱髓鞘疾病,/ˌdɛmaɪəˈleɪtɪŋ dɪsˈɔrdərz/,P.,醫學,,"Demyelinating disorders are diseases that damage the protective covering of nerves, known as myelin.",Multiple sclerosis is one of the most common demyelinating disorders affecting the central nervous system.,,,251010A036,
Lectrochemical gradients - 电化学梯度,M000227,Lectrochemical gradients,电化学梯度,/ˌlɛktrəˈkɛmɪkəl ˈɡreɪdients/,P.,生物,,"Lectrochemical gradients are essential for the functioning of many biological processes, including neuronal signaling.","In neurons, lectrochemical gradients help transmit signals across synapses.",lectro chemical gradient,electricity_of_chemistry_gradient,251010A036,
Ionic movement - 离子移动,M000228,Ionic movement,离子移动,/aɪˈɒnɪk ˈmuːvmənt/,P.,化學,,Ionic movement refers to the process in which ions move in response to an electric field or concentration gradient.,The study of ionic movement is crucial in understanding how batteries operate during discharging.,ionic movement,ion_transport,251010A036,
Trivial case - 平凡情形,M000229,Trivial case,平凡情形,/ˈtrɪviəl keɪs/,P.,,,A trivial case is one that is simple and not worth much consideration.,"In the discussion about complex algorithms, the engineer dismissed the problem as a trivial case.",trivial case,simple_situation,251010A036,
Membrane potential - 膜电位,M000230,Membrane potential,膜电位,/ˈmɛmˌbren pəˈtɛnʃəl/,P.,生物,,Membrane potential refers to the electrical potential difference across a cell membrane.,"In neurons, the membrane potential plays a crucial role in transmitting signals.",membrane potential,electrical_potential_difference_across_a_cell_membrane,251010A036,
Atpase - ATP 酶,M000231,Atpase,ATP 酶,/ˈeɪ ti pi ˌeɪ s/,n.,生物,,ATPase is an enzyme that catalyzes the hydrolysis of ATP to ADP and inorganic phosphate.,The ATPase activity was measured to determine the enzyme's efficiency in the metabolic process.,,,251010A036,
S-P pump - 钠-钾泵,M000232,S-P pump,钠-钾泵,,abbr.,生物,,The S-P pump is essential for maintaining the sodium and potassium balance in cells.,"In the human body, the S-P pump plays a crucial role in nerve signal transmission and muscle contraction.",,,251010A036,
Ion pump - 离子泵,M000233,Ion pump,离子泵,/ˈaɪən pʌmp/,P.,生物,,An ion pump is a membrane protein that facilitates the movement of ions across a cell membrane.,The ion pump in the neuron allows for the regulation of sodium and potassium levels essential for signal transmission.,,,251010A036,
Depolarization - 去极化,M000234,Depolarization,去极化,/ˌdiːˌpoʊlərɪˈzeɪʃən/,n.,生物,,Depolarization is the process that reduces the difference in charge across a cell membrane.,"During the action potential of a neuron, depolarization occurs as sodium ions rush into the cell.",,,251010A036,
Hyperpolarization - 超极化,M000235,Hyperpolarization,超极化,/ˌhaɪpərˌpoʊlərɪˈzeɪʃən/,n.,生物,,Hyperpolarization refers to the potential increase in the negativity of a cell's membrane potential.,"After the action potential, the neuron's membrane undergoes hyperpolarization, making it less likely to fire again immediately.",,,251010A036,
Synapse - 突触,M000236,Synapse,突触,/ˈsɪnæps/,n.,生物,,A synapse is the junction between two neurons where neurotransmitters are released.,The study focused on the role of the synapse in information processing within the brain.,,,251010A036,
Repolarization - 复极化,M000237,Repolarization,复极化,/ˌriːˌpɒlərɪˈzeɪʃən/,n.,醫學,,Repolarization refers to the process where the membrane potential of a cell returns to a more negative value after depolarization.,The cardiologist explained that repolarization is crucial for the proper functioning of heart cells after each contraction.,,,251010A036,
Chemical gradient - 化学梯度,M000238,Chemical gradient,化学梯度,/ˈkɛmɪkəl ˈɡreɪdɪənt/,P.,生物,,A chemical gradient refers to the gradual change in the concentration of a chemical substance in a solution over a certain distance.,Cells often respond to a chemical gradient by moving toward areas of higher concentration of nutrients.,chemical gradient,concentration_change_in_solution_over_distance,251010A036,
Intracellular - 细胞内,M000239,Intracellular,细胞内,/ˌɪntrəˈsɛljʊlər/,adj.,生物,,Intracellular processes occur within the cells.,The drug targets intracellular components to enhance its efficacy.,,,251010A036,
Concentration - 浓度,M000240,Concentration,浓度,/ˌkɒnsənˈtreɪʃən/,n.,化學,,Concentration refers to the amount of a substance in a given volume of solution.,The concentration of sugar in the syrup was much higher than expected.,,,251010A036,
Phospholipid - 磷脂,M000241,Phospholipid,磷脂,/ˌfɑsfəˈlɪpɪd/,n.,生物,,A phospholipid is a type of fat that is a major component of all cell membranes.,"In the laboratory, we studied how phospholipid bilayers form around cells.",,,251010A036,
Bilayer - 双层,M000242,Bilayer,双层,/ˈbaɪˌleɪər/,n.,生物,,A bilayer consists of two layers of material that serve a specific function in various applications.,"In his experiment, the scientist used a bilayer of lipid molecules to study membrane behavior.",,,251010A036,
Mammalian - 哺乳动物的,M000243,Mammalian,哺乳动物的,/məˈmeɪliən/,adj.,生物,,A mammalian species is characterized by the presence of mammary glands which produce milk for feeding their young.,"The mammalian group includes animals like dogs, cats, and humans, all of which nurse their offspring.",,,251010A036,
Canonical ionic distributions - 典型离子分布,M000244,Canonical ionic distributions,典型离子分布,/kəˈnɒnɪkəl ˈaɪɒnɪk dɪstrɪˈbjuːʃənz/,P.,化學,,Canonical ionic distributions refer to the typical arrangements of ions in a crystal lattice.,The study of canonical ionic distributions helps us understand the stability of different crystal structures under varying conditions.,canonical ionic distributions,typical_arrangements_of_ions_in_a_crystal_lattice,251010A036,
Graded (Passive) potentials - 分级（被动）电位,M000245,Graded (Passive) potentials,分级（被动）电位,/ˈɡreɪdɪd pəˈtɛnʃəlz/,P.,,,"Graded potentials are changes in membrane potential that are graded, meaning they vary in size relative to the strength of the stimulus.","In neuroscience, graded potentials can lead to the generation of action potentials if they reach a certain threshold.",,,251010A036,
Threshold potential - 阈电位,M000246,Threshold potential,阈电位,/ˈθrɛʃhoʊld pəˈtɛnʃəl/,P.,生物,,The threshold potential is the critical level to which a membrane must be depolarized to initiate an action potential.,"When a neuron reaches its threshold potential, it fires an action potential that transmits a signal.",threshold potential,critical_level to_initiate_action_potential,251010A036,
Overshoot - 超冲,M000247,Overshoot,超冲,/ˈoʊvərˌʃut/,vt.,,,To overshoot means to go beyond the intended target or limit.,"The rocket began to overshoot its trajectory, leading to a failed mission.",,,251010A036,
Undershoot - 下冲,M000248,Undershoot,下冲,/ˌʌndərˈʃut/,vt.,,,To undershoot is to fall short of the target or mark.,"The archer managed to undershoot the bullseye, causing his score to drop significantly.",,,251010A036,
Drift - 漂移,M000249,Drift,漂移,/drɪft/,vi.,生物,,"Drift refers to the gradual movement of an object, often without conscious effort, such as how a boat might drift in the current.","As the boat began to drift away from the shore, the fishermen quickly paddled to catch up with it.",,,251010A036,
V-G ion channels - 电压门控离子通道,M000250,V-G ion channels,电压门控离子通道,,P.,生物,,V-G ion channels are essential for the generation and propagation of action potentials in neurons.,Research into V-G ion channels has revealed their critical role in cardiac and neuronal excitability.,,,251010A036,
Gastropod - 腹足类动物,M000251,Gastropod,腹足类动物,/ˈɡæstrəˌpɒd/,n.,生物,,A gastropod is a type of mollusk that includes snails and slugs.,"In the garden, we often find a variety of gastropods creeping slowly along the moist soil.",,,251010A036,
Nodes of ranvier - 朗飞结,M000252,Nodes of ranvier,朗飞结,/noʊdz əv ˈrænvɪər/,P.,生物,,The Nodes of Ranvier are gaps in the myelin sheath that facilitate the rapid conduction of electrical impulses along a nerve fiber.,"In my research, I discovered that the Nodes of Ranvier play a crucial role in increasing the speed of action potentials in neurons.",nodes of ranvier,gaps_of_myelin_sheath,251010A036,
Saltatory conduction - 跳跃式传导,M000253,Saltatory conduction,跳跃式传导,/sælˈtɛrətɔri ˌkənˈdʌkʃən/,P.,生物,,Saltatory conduction is a process in which nerve impulses jump between the nodes of Ranvier in a myelinated axon.,"In multiple sclerosis, damage to the myelin sheaths disrupts saltatory conduction, slowing down nerve signaling.",,,251010A036,
Pathologies - 病理学,M000254,Pathologies,病理学,/pəˈθɑlədʒiz/,n.,醫學,,Pathologies refer to the study of diseases and their effects on living organisms.,"In medical school, students learn about various pathologies that can affect human health.",,,251010A036,
Autoimmune - 自身免疫性,M000255,Autoimmune,自身免疫性,/ˌɔːtəʊɪˈmjuːn/,adj.,醫學,,"An autoimmune disease occurs when the body's immune system mistakenly attacks its own cells, which can lead to various autoimmune conditions.",Lupus is a common type of autoimmune disorder that affects the skin and internal organs.,,,251010A036,
Multiple sclerosis - 多发性硬化,M000256,Multiple sclerosis,多发性硬化,/ˈmʌltəpəl skləˈroʊsɪs/,P.,醫學,,Multiple sclerosis is a chronic disease that affects the central nervous system by damaging the myelin sheath.,"After being diagnosed with multiple sclerosis, she had to adapt her lifestyle to manage the symptoms effectively.",,,251010A036,
Guillain-barré syndrome - 格林－巴利综合征,M000257,Guillain-barré syndrome,格林－巴利综合征,,P.,醫學,,Guillain-Barré syndrome is a rare neurological disorder that causes the body's immune system to attack the peripheral nervous system.,"After experiencing flu-like symptoms, she was diagnosed with Guillain-Barré syndrome and spent weeks in recovery.",,,251010A036,
