AP - 动作电位,M000222,AP,动作电位,,abbr.,生物,,"AP stands for action potential, a rapid rise and subsequent fall in voltage or membrane potential across a cellular membrane.","The neuron generated an AP in response to the stimulus, enabling signal transmission.",,,251013D036,
Propagation - 传导,M000223,Propagation,传导,/ˌprɑːpəˈɡeɪʃən/,n.,物理,,Propagation refers to the transmission of light or sound through a medium.,The propagation of heat through a metal rod can be observed in a laboratory experiment.,pro pag,forward fasten,251013D036,
Myelination - 髓鞘化,M000224,Myelination,髓鞘化,/ˌmaɪəˈleɪʃən/,n.,生物,,Myelination is the process of forming a myelin sheath around nerve fibers.,The rapid myelination of nerve fibers occurs during early childhood development.,myel in ation,marrow fiber process,251013D036,
Saltatory conduction - 跳跃式传导,M000225,Saltatory conduction,跳跃式传导,/ˈsɔltəˌtɔri kənˈdʌkʃən/,P.,生物,,Saltatory conduction is a process where nerve impulses jump between the nodes of Ranvier in myelinated axons.,"In multiple sclerosis, the breakdown of myelin disrupts saltatory conduction, leading to a variety of neurological symptoms.",salt ator y con duct ion,jump agent relating_to together lead action,251013D036,
Demyelinating disorders - 脱髓鞘疾病,M000226,Demyelinating disorders,脱髓鞘疾病,/diːˈmaɪəlɪneɪtɪŋ dɪsˈɔrdərz/,P.,醫學,,"Demyelinating disorders are conditions that result in damage to the protective covering, myelin, of nerve fibers in the central and peripheral nervous systems.",Multiple sclerosis is one of the most well-known demyelinating disorders.,de myelin ate,remove nerve_fiber_cover pertaining_to,251013D036,
Lectrochemical gradients - 电化学梯度,M000227,Lectrochemical gradients,电化学梯度,,P.,生物,,Electrochemical gradients drive ions across membranes in cells.,The neuron uses electrochemical gradients to transmit signals.,electro chemic al,electric chemical related_to,251013D036,
Ionic movement - 离子移动,M000228,Ionic movement,离子移动,/aɪˈɑːnɪk ˈmuːvmənt/,P.,化學,,Ionic movement refers to the migration of ions within a solution or across a membrane.,"In electrochemistry, the study of ionic movement is crucial for understanding battery function.",ion ic,ion pertaining_to,251013D036,
Trivial case - 平凡情形,M000229,Trivial case,平凡情形,/ˈtrɪviəl keɪs/,P.,數學,,A trivial case is a situation that is simple and without complication.,"In mathematics, a trivial case often serves to illustrate a basic principle without added complexity.",tri via al cas,three way relating_to happening,251013D036,
Membrane potential - 膜电位,M000230,Membrane potential,膜电位,/ˈmɛmˌbreɪn pəˈtɛnʃəl/,P.,生物,,The membrane potential is the electrical potential difference across a cell's plasma membrane.,Changes in membrane potential can trigger nerve impulses.,membrane potentia,thin_layer of_power,251013D036,
Atpase - ATP 酶,M000231,Atpase,ATP 酶,/ˌeɪˌtiːˈpiːeɪz/,n.,生化,,Atpase is an enzyme that catalyzes the hydrolysis of ATP to ADP and inorganic phosphate.,Atpase activity is crucial for muscle contraction and other cellular processes.,atp ase,adenosine_triphosphate enzyme,251013D036,
S-P pump - 钠-钾泵,M000232,S-P pump,钠-钾泵,/ˌɛs ˈpi pʌmp/,P.,生物,,The S-P pump is an essential cellular mechanism that exchanges sodium and potassium ions across the cell membrane.,Research on the S-P pump has advanced our understanding of how nerve impulses are transmitted electrically.,peri cardium,around heart,251013D036,
Ion pump - 离子泵,M000233,Ion pump,离子泵,/ˈaɪ.ɑn pʌmp/,P.,生物,,An ion pump is a device that uses electromagnetic fields to transport ions across a membrane or other medium.,The biologist studied how the ion pump regulates the cell's internal environment by controlling ion flow.,ion pump,charged_particle device,251013D036,
Depolarization - 去极化,M000234,Depolarization,去极化,/diˌpoʊlərɪˈzeɪʃən/,n.,生物,,Depolarization is the process by which a cell's membrane potential becomes less negative.,"During an action potential, depolarization occurs when sodium ions flow into the neuron.",de polar ization,reverse pole process,251013D036,
Hyperpolarization - 超极化,M000235,Hyperpolarization,超极化,/ˌhaɪpərˌpoʊlərɪˈzeɪʃən/,n.,生物,,"Hyperpolarization refers to the increase in a cell's membrane potential, making it more negative.","During an action potential, hyperpolarization prevents the neuron from firing immediately again.",hyper polar ization,over axis process_of_making,251013D036,
Synapse - 突触,M000236,Synapse,突触,/ˈsɪˌnæps/,n.,生物,,A synapse is a junction where neurons communicate with each other.,The neurotransmitters cross the synapse to relay the signal to the next nerve cell.,syn apse,together juncture,251013D036,
Repolarization - 复极化,M000237,Repolarization,复极化,/riˌpoʊlərɪˈzeɪʃən/,n.,生物,,Repolarization is the process by which the membrane potential of a neuron returns to its resting state after depolarization.,"During a cardiac action potential, repolarization occurs as potassium ions exit the cell, restoring the negative charge.",re poly ze,again pole make,251013D036,
Chemical gradient - 化学梯度,M000238,Chemical gradient,化学梯度,/ˈkɛmɪkəl ˈɡreɪdiənt/,P.,生物,,A chemical gradient is the spatial variation of chemical concentration within a system.,Cells move in response to a chemical gradient in the process of chemotaxis.,chem grad,chemical step,251013D036,
Intracellular - 细胞内,M000239,Intracellular,细胞内,/ˌɪntrəˈsɛljələr/,adj.,生物,,Intracellular refers to processes occurring within a cell.,The intracellular transport system is crucial for moving materials between different parts of the cell.,intra cell,within cell,251013D036,
Concentration - 浓度,M000240,Concentration,浓度,/ˌkɑːnsənˈtreɪʃən/,n.,化學,,Concentration refers to the amount of a substance in a given volume or area.,The concentration of salt in the seawater varies depending on the location.,con centr ation,with center action,251013D036,
Phospholipid - 磷脂,M000241,Phospholipid,磷脂,/ˌfɒsfoʊˈlɪpɪd/,n.,生物,,A phospholipid is a type of fat that is a major component of cell membranes.,Phospholipids are essential for the structure and function of cell membranes.,phospho lipid,phosphate fat,251013D036,
Bilayer - 双层,M000242,Bilayer,双层,/ˈbaɪˌleɪər/,n.,生物,,"A bilayer is a structure composed of two molecular layers, often found in cell membranes.",Researchers studied the bilayer of the cell membrane to understand its properties.,bi layer,two layer,251013D036,
Mammalian - 哺乳动物的,M000243,Mammalian,哺乳动物的,/məˈmeɪliən/,adj.,生物,,Mammalian refers to characteristics or features pertaining to mammals.,Mammalian traits include having hair and the ability to produce milk.,mamma,breast,251013D036,
Canonical ionic distributions - 典型离子分布,M000244,Canonical ionic distributions,典型离子分布,,P.,化學,,Canonical ionic distributions refer to the idealized arrangements of ions in a system.,Scientists study canonical ionic distributions to understand the behavior of charged particles in various environments.,canon ic ion,ideal_related_to charge,251013D036,
Graded (Passive) potentials - 分级（被动）电位,M000245,Graded (Passive) potentials,分级（被动）电位,/ˈɡreɪdɪd (ˈpæsɪv) pəˈtɛnʃəlz/,P.,生物,,Graded (Passive) potentials are changes in membrane potential that vary in size and are not all-or-nothing phenomena.,Graded (Passive) potentials can lead to an action potential if they reach the threshold level.,grad pot,step_power potential,251013D036,
Threshold potential - 阈电位,M000246,Threshold potential,阈电位,/ˈθrɛʃhoʊld pəˈtɛnʃəl/,P.,生物,,Threshold potential is the critical level to which a membrane potential must be depolarized to initiate an action potential.,"When the neuron reaches its threshold potential, an action potential fires, leading to nerve impulse transmission.",thresh hold potent ial,to_sift contain power relating_to,251013D036,
Overshoot - 超冲,M000247,Overshoot,超冲,/ˈoʊvərˌʃuːt/,vt.,,,To overshoot means to go beyond a target or limit by a certain margin.,The spacecraft might overshoot its intended orbital path if calculations are slightly off.,over shoot,beyond throw,251013D036,
Undershoot - 下冲,M000248,Undershoot,下冲,/ˌʌndərˈʃuːt/,vt.,,,To undershoot means to fall short of a target or goal.,The pilot had to abort the landing to avoid an undershoot of the runway.,under shoot,below aim,251013D036,
Drift - 漂移,M000249,Drift,漂移,/drɪft/,vi.,,,Drift means to move slowly and gradually for a long distance without a clear direction.,The boat began to drift away from the shore as the tide changed.,,,251013D036,
V-G ion channels - 电压门控离子通道,M000250,V-G ion channels,电压门控离子通道,,P.,生物,RARE,V-G ion channels are proteins that open or close in response to changes in membrane potential.,Scientists study V-G ion channels to understand how nerve cells communicate.,ion,charged_particle,251013D036,
Gastropod - 腹足类动物,M000251,Gastropod,腹足类动物,/ˈɡæstrəˌpɒd/,n.,生物,,A gastropod is a member of the large mollusk class with a muscular foot used for locomotion.,"The snail, a common gastropod, leaves a slimy trail as it moves.",gastro pod,stomach foot,251013D036,
Nodes of ranvier - 朗飞结,M000252,Nodes of ranvier,朗飞结,/ˈnoʊdz əv ˈrænviˌeɪ/,P.,生物,RARE,"Nodes of Ranvier are gaps in the myelin sheath of a nerve, between adjacent Schwann cells.","The action potential in neurons jumps between Nodes of Ranvier, facilitating rapid transmission.",node,knot,251013D036,
Saltatory conduction - 跳跃式传导,M000253,Saltatory conduction,跳跃式传导,/ˈsɔltəˌtɔri kənˈdʌkʃən/,P.,生物,RARE,Saltatory conduction is the process by which nerve impulses jump between nodes of Ranvier in myelinated axons.,"In vertebrates, saltatory conduction enables faster transmission speeds along nerve cells compared to unmyelinated axons.",salt conduct,jump lead,251013D036,
Pathologies - 病理学,M000254,Pathologies,病理学,/pəˈθɑːlədʒiz/,n.,醫學,,Pathologies is the study of diseases and their effects on the body.,The conference covered various pathologies affecting respiratory health.,patho logy,disease study_of,251013D036,
Autoimmune - 自身免疫性,M000255,Autoimmune,自身免疫性,/ˌɔːtoʊɪˈmjuːn/,adj.,醫學,,Autoimmune diseases occur when the immune system attacks the body's own cells.,Rheumatoid arthritis is a common autoimmune condition affecting the joints.,auto immune,self protection,251013D036,
Multiple sclerosis - 多发性硬化,M000256,Multiple sclerosis,多发性硬化,/ˈmʌltɪpl skləˈroʊsɪs/,P.,醫學,,Multiple sclerosis is a disease in which the immune system attacks the protective covering of nerves.,Diagnosing multiple sclerosis can be challenging due to its symptoms overlapping with other neurological conditions.,multi sclero sis,many hard condition,251013D036,
Guillain-barré syndrome - 格林－巴利综合征,M000257,Guillain-barré syndrome,格林－巴利综合征,/ɡiˌlæ̃ bəˈreɪ ˈsɪnˌdroʊm/,P.,醫學,,Guillain-Barré syndrome is a rare neurological disorder where the body's immune system mistakenly attacks peripheral nerves.,Patients diagnosed with Guillain-Barré syndrome often experience rapid-onset muscle weakness.,syndrome,together_running,251013D036,
